Município,Microrregião,Estado
Baraúna,Cuité - Nova Floresta,Paraíba
Zabelê,Monteiro,Paraíba
São Sebastião do Umbuzeiro,Monteiro,Paraíba
São João do Tigre,Monteiro,Paraíba
Prata,Monteiro,Paraíba
Ouro Velho,Monteiro,Paraíba
Monteiro,Monteiro,Paraíba
Camalaú,Monteiro,Paraíba
Sumé,Sumé,Paraíba
Serra Branca,Sumé,Paraíba
São José dos Cordeiros,Sumé,Paraíba
Parari,Sumé,Paraíba
Livramento,Sumé,Paraíba
Coxixola,Sumé,Paraíba
Congo,Sumé,Paraíba
Amparo,Sumé,Paraíba
Várzea,Patos,Paraíba
Teixeira,Patos,Paraíba
São Mamede,Patos,Paraíba
São José do Sabugi,Patos,Paraíba
São José do Bonfim,Patos,Paraíba
São José de Espinharas,Patos,Paraíba
Santa Teresinha,Patos,Paraíba
Santa Luzia,Patos,Paraíba
Salgadinho,Patos,Paraíba
Quixabá,Patos,Paraíba
Patos,Patos,Paraíba
Passagem,Patos,Paraíba
Olho d'Água,Patos,Paraíba
Maturéia,Patos,Paraíba
Malta,Patos,Paraíba
Mãe d'Água,Patos,Paraíba
Imaculada,Patos,Paraíba
Emas,Patos,Paraíba
Vista Serrana,Patos,Paraíba
Desterro,Patos,Paraíba
Coremas,Patos,Paraíba
Catingueira,Patos,Paraíba
Cacimbas,Patos,Paraíba
Cacimba de Areia,Patos,Paraíba
Areia de Baraúnas,Patos,Paraíba
Água Branca,Patos,Paraíba
São José de Caiana,Itaporanga,Paraíba
Santana dos Garrotes,Itaporanga,Paraíba
Santana de Mangueira,Itaporanga,Paraíba
Santa Inês,Itaporanga,Paraíba
Piancó,Itaporanga,Paraíba
Pedra Branca,Itaporanga,Paraíba
Nova Olinda,Itaporanga,Paraíba
Itaporanga,Itaporanga,Paraíba
Ibiara,Itaporanga,Paraíba
Diamante,Itaporanga,Paraíba
Curral Velho,Itaporanga,Paraíba
Conceição,Itaporanga,Paraíba
Igaracy,Itaporanga,Paraíba
Boa Ventura,Itaporanga,Paraíba
Aguiar,Itaporanga,Paraíba
São José do Brejo do Cruz,Catolé do Rocha - São Bento,Paraíba
São Bento,Catolé do Rocha - São Bento,Paraíba
Riacho dos Cavalos,Catolé do Rocha - São Bento,Paraíba
Mato Grosso,Catolé do Rocha - São Bento,Paraíba
Jericó,Catolé do Rocha - São Bento,Paraíba
Catolé do Rocha,Catolé do Rocha - São Bento,Paraíba
Brejo dos Santos,Catolé do Rocha - São Bento,Paraíba
Brejo do Cruz,Catolé do Rocha - São Bento,Paraíba
Bom Sucesso,Catolé do Rocha - São Bento,Paraíba
Belém do Brejo do Cruz,Catolé do Rocha - São Bento,Paraíba
São Domingos,Pombal,Paraíba
São Bentinho,Pombal,Paraíba
Pombal,Pombal,Paraíba
Paulista,Pombal,Paraíba
Lagoa,Pombal,Paraíba
Condado,Pombal,Paraíba
Cajazeirinhas,Pombal,Paraíba
Tavares,Princesa Isabel,Paraíba
São José de Princesa,Princesa Isabel,Paraíba
Princesa Isabel,Princesa Isabel,Paraíba
Manaíra,Princesa Isabel,Paraíba
Juru,Princesa Isabel,Paraíba
Vieirópolis,Sousa,Paraíba
Uiraúna,Sousa,Paraíba
Sousa,Sousa,Paraíba
São José da Lagoa Tapada,Sousa,Paraíba
São Francisco,Sousa,Paraíba
Joca Claudino,Sousa,Paraíba
Santa Cruz,Sousa,Paraíba
Poço Dantas,Sousa,Paraíba
Nazarezinho,Sousa,Paraíba
Marizópolis,Sousa,Paraíba
Lastro,Sousa,Paraíba
Bernardino Batista,Sousa,Paraíba
Aparecida,Sousa,Paraíba
Triunfo,Cajazeiras,Paraíba
Serra Grande,Cajazeiras,Paraíba
São José de Piranhas,Cajazeiras,Paraíba
Santa Helena,Cajazeiras,Paraíba
Poço de José de Moura,Cajazeiras,Paraíba
Monte Horebe,Cajazeiras,Paraíba
Carrapateira,Cajazeiras,Paraíba
Cajazeiras,Cajazeiras,Paraíba
Cachoeira dos Índios,Cajazeiras,Paraíba
Bonito de Santa Fé,Cajazeiras,Paraíba
Bom Jesus,Cajazeiras,Paraíba
São João do Rio do Peixe,Cajazeiras,Paraíba
São Lourenço da Mata,Recife,Paraíba
Ribeirão,Escada - Ribeirão,Paraíba
Recife,Recife,Paraíba
Primavera,Escada - Ribeirão,Paraíba
Paulista,Recife,Pernambuco
Paudalho,Recife,Pernambuco
Olinda,Recife,Pernambuco
Moreno,Recife,Pernambuco
Jaboatão dos Guararapes,Recife,Pernambuco
Itapissuma,Recife,Pernambuco
Ilha de Itamaracá,Recife,Pernambuco
Ipojuca,Recife,Pernambuco
Igarassu,Recife,Pernambuco
Fernando de Noronha,Recife,Pernambuco
Escada,Escada - Ribeirão,Pernambuco
Cortês,Escada - Ribeirão,Pernambuco
Camaragibe,Recife,Pernambuco
Cabo de Santo Agostinho,Recife,Pernambuco
Araçoiaba,Recife,Pernambuco
Amaraji,Escada - Ribeirão,Pernambuco
Abreu e Lima,Recife,Pernambuco
Vicência,Goiana – Timbaúba,Pernambuco
Timbaúba,Goiana – Timbaúba,Pernambuco
São Vicente Ferrer,Goiana – Timbaúba,Pernambuco
Macaparana,Goiana – Timbaúba,Pernambuco
Itaquitinga,Goiana – Timbaúba,Pernambuco
Itambé,Goiana – Timbaúba,Pernambuco
Goiana,Goiana – Timbaúba,Pernambuco
Ferreiros,Goiana – Timbaúba,Pernambuco
Condado,Goiana – Timbaúba,Pernambuco
Camutanga,Goiana – Timbaúba,Pernambuco
Aliança,Goiana – Timbaúba,Pernambuco
Xexéu,Palmares,Pernambuco
São Benedito do Sul,Palmares,Pernambuco
Palmares,Palmares,Pernambuco
Maraial,Palmares,Pernambuco
Joaquim Nabuco,Palmares,Pernambuco
Jaqueira,Palmares,Pernambuco
Gameleira,Palmares,Pernambuco
Catende,Palmares,Pernambuco
Belém de Maria,Palmares,Pernambuco
Água Preta,Palmares,Pernambuco
Salgadinho,Limoeiro,Pernambuco
Passira,Limoeiro,Pernambuco
Orobó,Limoeiro,Pernambuco
Machados,Limoeiro,Pernambuco
Limoeiro,Limoeiro,Pernambuco
João Alfredo,Limoeiro,Pernambuco
Feira Nova,Limoeiro,Pernambuco
Bom Jardim,Limoeiro,Pernambuco
Vitória de Santo Antão,Vitória de Santo Antão,Pernambuco
Pombos,Vitória de Santo Antão,Pernambuco
Glória do Goitá,Vitória de Santo Antão,Pernambuco
Chã de Alegria,Vitória de Santo Antão,Pernambuco
Tracunhaém,Carpina,Pernambuco
Nazaré da Mata,Carpina,Pernambuco
LAGOA DE ITAENGA,Carpina,Pernambuco
Lagoa do Carro,Carpina,Pernambuco
Carpina,Carpina,Pernambuco
Buenos Aires,Carpina,Pernambuco
Tamandaré,Barreiros - Sirinhaém,Pernambuco
Sirinhaém,Barreiros - Sirinhaém,Pernambuco
São José da Coroa Grande,Barreiros - Sirinhaém,Pernambuco
Rio Formoso,Barreiros - Sirinhaém,Pernambuco
Barreiros,Barreiros - Sirinhaém,Pernambuco
Vertente do Lério,Surubim,Pernambuco
Surubim,Surubim,Pernambuco
Santa Maria do Cambucá,Surubim,Pernambuco
Casinhas,Surubim,Pernambuco
Vertentes,Surubim,Pernambuco
Toritama,Caruaru,Pernambuco
Taquaritinga do Norte,Caruaru,Pernambuco
São Joaquim do Monte,Caruaru,Pernambuco
São Caitano,Caruaru,Pernambuco
Santa Cruz do Capibaribe,Caruaru,Pernambuco
Sairé,Caruaru,Pernambuco
Riacho das Almas,Caruaru,Pernambuco
Panelas,Caruaru,Pernambuco
Lagoa dos Gatos,Caruaru,Pernambuco
Jataúba,Caruaru,Pernambuco
Ibirajuba,Caruaru,Pernambuco
Gravatá,Caruaru,Pernambuco
Frei Miguelinho,Surubim,Pernambuco
Cupira,Caruaru,Pernambuco
Cumaru,Caruaru,Pernambuco
Chã Grande,Caruaru,Pernambuco
Caruaru,Caruaru,Pernambuco
Camocim de São Félix,Caruaru,Pernambuco
Cachoeirinha,Caruaru,Pernambuco
Brejo da Madre de Deus,Caruaru,Pernambuco
Bonito,Caruaru,Pernambuco
Bezerros,Caruaru,Pernambuco
Barra de Guabiraba,Caruaru,Pernambuco
Altinho,Caruaru,Pernambuco
Agrestina,Caruaru,Pernambuco
Terezinha,Garanhuns,Pernambuco
São João,Garanhuns,Pernambuco
São Bento do Una,Belo Jardim – Pesqueira,Pernambuco
Saloá,Garanhuns,Pernambuco
Quipapá,Garanhuns,Pernambuco
Paranatama,Garanhuns,Pernambuco
Palmeirina,Garanhuns,Pernambuco
Lajedo,Garanhuns,Pernambuco
Lagoa do Ouro,Garanhuns,Pernambuco
Jurema,Garanhuns,Pernambuco
Jupi,Garanhuns,Pernambuco
Jucati,Garanhuns,Pernambuco
Iati,Garanhuns,Pernambuco
Garanhuns,Garanhuns,Pernambuco
Correntes,Garanhuns,Pernambuco
Capoeiras,Garanhuns,Pernambuco
Canhotinho,Garanhuns,Pernambuco
Calçado,Garanhuns,Pernambuco
Caetés,Garanhuns,Pernambuco
Brejão,Garanhuns,Pernambuco
Bom Conselho,Garanhuns,Pernambuco
Angelim,Garanhuns,Pernambuco
Águas Belas,Garanhuns,Pernambuco
Venturosa,Arcoverde,Pernambuco
Tupanatinga,Arcoverde,Pernambuco
Sertânia,Arcoverde,Pernambuco
Pedra,Arcoverde,Pernambuco
Manari,Arcoverde,Pernambuco
Itaíba,Arcoverde,Pernambuco
Inajá,Arcoverde,Pernambuco
Ibimirim,Arcoverde,Pernambuco
Custódia,Arcoverde,Pernambuco
Buíque,Arcoverde,Pernambuco
Arcoverde,Arcoverde,Pernambuco
Tacaimbó,Belo Jardim – Pesqueira,Pernambuco
Sanharó,Belo Jardim – Pesqueira,Pernambuco
Poção,Belo Jardim – Pesqueira,Pernambuco
Pesqueira,Belo Jardim – Pesqueira,Pernambuco
Belo Jardim,Belo Jardim – Pesqueira,Pernambuco
Alagoinha,Belo Jardim – Pesqueira,Pernambuco
Triunfo,Serra Talhada,Pernambuco
Tacaratu,Serra Talhada,Pernambuco
Serra Talhada,Serra Talhada,Pernambuco
São José do Belmonte,Serra Talhada,Pernambuco
Santa Cruz da Baixa Verde,Serra Talhada,Pernambuco
Petrolândia,Serra Talhada,Pernambuco
Mirandiba,Serra Talhada,Pernambuco
Jatobá,Serra Talhada,Pernambuco
Floresta,Serra Talhada,Pernambuco
Flores,Serra Talhada,Pernambuco
Carnaubeira da Penha,Serra Talhada,Pernambuco
Calumbi,Serra Talhada,Pernambuco
Betânia,Serra Talhada,Pernambuco
Tuparetama,Afogados da Ingazeira,Pernambuco
Tabira,Afogados da Ingazeira,Pernambuco
Solidão,Afogados da Ingazeira,Pernambuco
São José do Egito,Afogados da Ingazeira,Pernambuco
Santa Terezinha,Afogados da Ingazeira,Pernambuco
Quixaba,Afogados da Ingazeira,Pernambuco
Itapetim,Afogados da Ingazeira,Pernambuco
Ingazeira,Afogados da Ingazeira,Pernambuco
Iguaraci,Afogados da Ingazeira,Pernambuco
Carnaíba,Afogados da Ingazeira,Pernambuco
Brejinho,Afogados da Ingazeira,Pernambuco
Afogados da Ingazeira,Afogados da Ingazeira,Pernambuco
Santa Maria da Boa Vista,Petrolina,Pernambuco
Petrolina,Petrolina,Pernambuco
Orocó,Petrolina,Pernambuco
Lagoa Grande,Petrolina,Pernambuco
Dormentes,Petrolina,Pernambuco
Afrânio,Petrolina,Pernambuco
Trindade,Araripina,Pernambuco
Moreilândia,Araripina,Pernambuco
Santa Filomena,Araripina,Pernambuco
Santa Cruz,Araripina,Pernambuco
Ouricuri,Araripina,Pernambuco
Ipubi,Araripina,Pernambuco
Granito,Araripina,Pernambuco
Exu,Araripina,Pernambuco
Bodocó,Araripina,Pernambuco
Araripina,Araripina,Pernambuco
Verdejante,Salgueiro,Pernambuco
Terra Nova,Salgueiro,Pernambuco
Serrita,Salgueiro,Pernambuco
Salgueiro,Salgueiro,Pernambuco
Parnamirim,Salgueiro,Pernambuco
Itacuruba,Salgueiro,Pernambuco
Cedro,Salgueiro,Pernambuco
Cabrobó,Salgueiro,Pernambuco
Belém do São Francisco,Salgueiro,Pernambuco
Satuba,Maceió,Alagoas
Santa Luzia do Norte,Maceió,Alagoas
Rio Largo,Maceió,Alagoas
Pilar,Maceió,Alagoas
Paripueira,Maceió,Alagoas
Messias,Maceió,Alagoas
Marechal Deodoro,Maceió,Alagoas
Maceió,Maceió,Alagoas
Joaquim Gomes,Maceió,Alagoas
Flexeiras,Maceió,Alagoas
Coqueiro Seco,Maceió,Alagoas
Barra de São Miguel,Maceió,Alagoas
Barra de Santo Antônio,Maceió,Alagoas
São Miguel dos Milagres,Porto Calvo - São Luís do Quitunde,Alagoas
São Luís do Quitunde,Porto Calvo - São Luís do Quitunde,Alagoas
Porto de Pedras,Porto Calvo - São Luís do Quitunde,Alagoas
Porto Calvo,Porto Calvo - São Luís do Quitunde,Alagoas
Passo de Camaragibe,Porto Calvo - São Luís do Quitunde,Alagoas
Novo Lino,Porto Calvo - São Luís do Quitunde,Alagoas
Matriz de Camaragibe,Porto Calvo - São Luís do Quitunde,Alagoas
Maragogi,Porto Calvo - São Luís do Quitunde,Alagoas
Jundiá,Porto Calvo - São Luís do Quitunde,Alagoas
Japaratinga,Porto Calvo - São Luís do Quitunde,Alagoas
Jacuípe,Porto Calvo - São Luís do Quitunde,Alagoas
Colônia Leopoldina,Porto Calvo - São Luís do Quitunde,Alagoas
Campestre,Porto Calvo - São Luís do Quitunde,Alagoas
São Brás,Penedo,Alagoas
Porto Real do Colégio,Penedo,Alagoas
Piaçabuçu,Penedo,Alagoas
Penedo,Penedo,Alagoas
Igreja Nova,Penedo,Alagoas
Feliz Deserto,Penedo,Alagoas
Coruripe,Penedo,Alagoas
São Miguel dos Campos,São Miguel dos Campos,Alagoas
Roteiro,São Miguel dos Campos,Alagoas
Jequiá da Praia,São Miguel dos Campos,Alagoas
Campo Alegre,São Miguel dos Campos,Alagoas
Boca da Mata,São Miguel dos Campos,Alagoas
Anadia,São Miguel dos Campos,Alagoas
União dos Palmares,União dos Palmares,Alagoas
São José da Laje,União dos Palmares,Alagoas
Santana do Mundaú,União dos Palmares,Alagoas
Murici,União dos Palmares,Alagoas
Ibateguara,União dos Palmares,Alagoas
Branquinha,União dos Palmares,Alagoas
Viçosa,Atalaia,Alagoas
Pindoba,Atalaia,Alagoas
Mar Vermelho,Atalaia,Alagoas
Chã Preta,Atalaia,Alagoas
Capela,Atalaia,Alagoas
Cajueiro,Atalaia,Alagoas
Atalaia,Atalaia,Alagoas
Traipu,Arapiraca,Alagoas
Teotônio Vilela,Arapiraca,Alagoas
Taquarana,Arapiraca,Alagoas
Tanque d'Arca,Arapiraca,Alagoas
São Sebastião,Arapiraca,Alagoas
Olho d'Água Grande,Arapiraca,Alagoas
Maribondo,Arapiraca,Alagoas
Limoeiro de Anadia,Arapiraca,Alagoas
Lagoa da Canoa,Arapiraca,Alagoas
Junqueiro,Arapiraca,Alagoas
Jaramataia,Arapiraca,Alagoas
Girau do Ponciano,Arapiraca,Alagoas
Feira Grande,Arapiraca,Alagoas
Craíbas,Arapiraca,Alagoas
Coité do Nóia,Arapiraca,Alagoas
Campo Grande,Arapiraca,Alagoas
Arapiraca,Arapiraca,Alagoas
Quebrangulo,Palmeira dos Índios,Alagoas
Paulo Jacinto,Palmeira dos Índios,Alagoas
Palmeira dos Índios,Palmeira dos Índios,Alagoas
Minador do Negrão,Palmeira dos Índios,Alagoas
Major Isidoro,Palmeira dos Índios,Alagoas
Igaci,Palmeira dos Índios,Alagoas
Estrela de Alagoas,Palmeira dos Índios,Alagoas
Cacimbinhas,Palmeira dos Índios,Alagoas
Belém,Palmeira dos Índios,Alagoas
Piranhas,Delmiro Gouveia,Alagoas
Pariconha,Delmiro Gouveia,Alagoas
Olho d'Água do Casado,Delmiro Gouveia,Alagoas
Mata Grande,Delmiro Gouveia,Alagoas
Inhapi,Delmiro Gouveia,Alagoas
Delmiro Gouveia,Delmiro Gouveia,Alagoas
Água Branca,Delmiro Gouveia,Alagoas
Senador Rui Palmeira,Santana do Ipanema,Alagoas
Santana do Ipanema,Santana do Ipanema,Alagoas
Poço das Trincheiras,Santana do Ipanema,Alagoas
Ouro Branco,Santana do Ipanema,Alagoas
Olivença,Santana do Ipanema,Alagoas
Maravilha,Santana do Ipanema,Alagoas
Dois Riachos,Santana do Ipanema,Alagoas
Carneiros,Santana do Ipanema,Alagoas
Canapi,Santana do Ipanema,Alagoas
São José da Tapera,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Pão de Açúcar,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Palestina,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Olho d'Água das Flores,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Monteirópolis,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Jacaré dos Homens,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Belo Monte,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Batalha,Pão de Açúcar - Olho d'Água das Flores – Batalha,Alagoas
Siriri,Aracaju,Sergipe
São Cristóvão,Aracaju,Sergipe
Santo Amaro das Brotas,Aracaju,Sergipe
Santa Rosa de Lima,Aracaju,Sergipe
Rosário do Catete,Aracaju,Sergipe
Riachuelo,Aracaju,Sergipe
Pirambu,Aracaju,Sergipe
Nossa Senhora do Socorro,Aracaju,Sergipe
Nossa Senhora das Dores,Aracaju,Sergipe
Maruim,Aracaju,Sergipe
Laranjeiras,Aracaju,Sergipe
Japaratuba,Aracaju,Sergipe
Itaporanga d'Ajuda,Aracaju,Sergipe
General Maynard,Aracaju,Sergipe
Divina Pastora,Aracaju,Sergipe
Cumbe,Aracaju,Sergipe
Carmópolis,Aracaju,Sergipe
Capela,Aracaju,Sergipe
Barra dos Coqueiros,Aracaju,Sergipe
Aracaju,Aracaju,Sergipe
Umbaúba,Estância,Sergipe
Tomar do Geru,Estância,Sergipe
Santa Luzia do Itanhy,Estância,Sergipe
Pedrinhas,Estância,Sergipe
Itabaianinha,Estância,Sergipe
Indiaroba,Estância,Sergipe
Estância,Estância,Sergipe
Cristinápolis,Estância,Sergipe
Boquim,Estância,Sergipe
Arauá,Estância,Sergipe
Telha,Propriá,Sergipe
São Francisco,Propriá,Sergipe
Santana do São Francisco,Propriá,Sergipe
Propriá,Propriá,Sergipe
Pacatuba,Propriá,Sergipe
Nossa Senhora de Lourdes,Propriá,Sergipe
Neópolis,Propriá,Sergipe
Muribeca,Propriá,Sergipe
Malhada dos Bois,Propriá,Sergipe
Japoatã,Propriá,Sergipe
Ilha das Flores,Propriá,Sergipe
Cedro de São João,Propriá,Sergipe
Canhoba,Propriá,Sergipe
Brejo Grande,Propriá,Sergipe
Aquidabã,Propriá,Sergipe
Amparo de São Francisco,Propriá,Sergipe
São Miguel do Aleixo,Itabaiana,Sergipe
São Domingos,Itabaiana,Sergipe
Ribeirópolis,Itabaiana,Sergipe
Pinhão,Itabaiana,Sergipe
Pedra Mole,Itabaiana,Sergipe
Nossa Senhora Aparecida,Itabaiana,Sergipe
Moita Bonita,Itabaiana,Sergipe
Malhador,Itabaiana,Sergipe
Macambira,Itabaiana,Sergipe
Itabaiana,Itabaiana,Sergipe
Frei Paulo,Itabaiana,Sergipe
Carira,Itabaiana,Sergipe
Campo do Brito,Itabaiana,Sergipe
Areia Branca,Itabaiana,Sergipe
Tobias Barreto,Lagarto,Sergipe
Simão Dias,Lagarto,Sergipe
Salgado,Lagarto,Sergipe
Riachão do Dantas,Lagarto,Sergipe
Poço Verde,Lagarto,Sergipe
Lagarto,Lagarto,Sergipe
Porto da Folha,Nossa Senhora da Glória,Sergipe
Poço Redondo,Nossa Senhora da Glória,Sergipe
Nossa Senhora da Glória,Nossa Senhora da Glória,Sergipe
Monte Alegre de Sergipe,Nossa Senhora da Glória,Sergipe
Itabi,Nossa Senhora da Glória,Sergipe
Gracho Cardoso,Nossa Senhora da Glória,Sergipe
Gararu,Nossa Senhora da Glória,Sergipe
Feira Nova,Nossa Senhora da Glória,Sergipe
Canindé de São Francisco,Nossa Senhora da Glória,Sergipe
Terra Nova,Salvador,Bahia
Simões Filho,Salvador,Bahia
Saubara,Salvador,Bahia
São Sebastião do Passé,Salvador,Bahia
São Francisco do Conde,Salvador,Bahia
Santo Amaro,Salvador,Bahia
Salvador,Salvador,Bahia
Pojuca,Salvador,Bahia
Mata de São João,Salvador,Bahia
Madre de Deus,Salvador,Bahia
Lauro de Freitas,Salvador,Bahia
Itanagra,Salvador,Bahia
Dias d'Ávila,Salvador,Bahia
Catu,Salvador,Bahia
Candeias,Salvador,Bahia
Camaçari,Salvador,Bahia
Teodoro Sampaio,Alagoinhas,Bahia
Sátiro Dias,Alagoinhas,Bahia
Rio Real,Alagoinhas,Bahia
Pedrão,Alagoinhas,Bahia
Jandaíra,Alagoinhas,Bahia
Itapicuru,Alagoinhas,Bahia
Inhambupe,Alagoinhas,Bahia
Esplanada,Alagoinhas,Bahia
Entre Rios,Alagoinhas,Bahia
Crisópolis,Alagoinhas,Bahia
Conde,Alagoinhas,Bahia
Cardeal da Silva,Alagoinhas,Bahia
Aramari,Alagoinhas,Bahia
Araças,Alagoinhas,Bahia
Aporá,Alagoinhas,Bahia
Alagoinhas,Alagoinhas,Bahia
Acajutiba,Alagoinhas,Bahia
Varzedo,Santo Antônio de Jesus,Bahia
Ubaíra,Santo Antônio de Jesus,Bahia
São Miguel das Matas,Santo Antônio de Jesus,Bahia
Santo Antônio de Jesus,Santo Antônio de Jesus,Bahia
Nova Itarana,Santo Antônio de Jesus,Bahia
Mutuípe,Santo Antônio de Jesus,Bahia
Muniz Ferreira,Santo Antônio de Jesus,Bahia
Milagres,Santo Antônio de Jesus,Bahia
Laje,Santo Antônio de Jesus,Bahia
Jiquiriçá,Santo Antônio de Jesus,Bahia
Elísio Medrado,Santo Antônio de Jesus,Bahia
Dom Macedo Costa,Santo Antônio de Jesus,Bahia
Brejões,Santo Antônio de Jesus,Bahia
Amargosa,Santo Antônio de Jesus,Bahia
Sapeaçu,Cruz das Almas,Bahia
São Felipe,Cruz das Almas,Bahia
São Félix,Cruz das Almas,Bahia
Santa Teresinha,Cruz das Almas,Bahia
Muritiba,Cruz das Almas,Bahia
Itatim,Cruz das Almas,Bahia
Governador Mangabeira,Cruz das Almas,Bahia
Cruz das Almas,Cruz das Almas,Bahia
Conceição do Almeida,Cruz das Almas,Bahia
Castro Alves,Cruz das Almas,Bahia
Cachoeira,Cruz das Almas,Bahia
Cabaceiras do Paraguaçu,Cruz das Almas,Bahia
Valença,Valença,Bahia
Taperoá,Valença,Bahia
Presidente Tancredo Neves,Valença,Bahia
Nilo Peçanha,Valença,Bahia
Ituberá,Valença,Bahia
Igrapiúna,Valença,Bahia
Camamu,Valença,Bahia
Cairu,Valença,Bahia
Vera Cruz,Nazaré – Maragogipe,Bahia
Salinas da Margarida,Nazaré – Maragogipe,Bahia
Nazaré,Nazaré – Maragogipe,Bahia
Maragogipe,Nazaré – Maragogipe,Bahia
Jaguaripe,Nazaré – Maragogipe,Bahia
Itaparica,Nazaré – Maragogipe,Bahia
Aratuípe,Nazaré – Maragogipe,Bahia
Uruçuca,Ilhéus – Itabuna,Bahia
Ubaitaba,Ilhéus – Itabuna,Bahia
São José da Vitória,Ilhéus – Itabuna,Bahia
Santa Cruz da Vitória,Ilhéus – Itabuna,Bahia
Maraú,Ilhéus – Itabuna,Bahia
Itapitanga,Ilhéus – Itabuna,Bahia
Itapé,Ilhéus – Itabuna,Bahia
Itajuípe,Ilhéus – Itabuna,Bahia
Itaju do Colônia,Ilhéus – Itabuna,Bahia
Itacaré,Ilhéus – Itabuna,Bahia
Itabuna,Ilhéus – Itabuna,Bahia
Ilhéus,Ilhéus – Itabuna,Bahia
Ibirapitanga,Ilhéus – Itabuna,Bahia
Ibicuí,Ilhéus – Itabuna,Bahia
Ibicaraí,Ilhéus – Itabuna,Bahia
Floresta Azul,Ilhéus – Itabuna,Bahia
Firmino Alves,Ilhéus – Itabuna,Bahia
Coaraci,Ilhéus – Itabuna,Bahia
Buerarema,Ilhéus – Itabuna,Bahia
Barro Preto,Ilhéus – Itabuna,Bahia
Aurelino Leal,Ilhéus – Itabuna,Bahia
Almadina,Ilhéus – Itabuna,Bahia
Vereda,Teixeira de Freitas,Bahia
Teixeira de Freitas,Teixeira de Freitas,Bahia
Prado,Teixeira de Freitas,Bahia
Nova Viçosa,Teixeira de Freitas,Bahia
Mucuri,Teixeira de Freitas,Bahia
Medeiros Neto,Teixeira de Freitas,Bahia
Lajedão,Teixeira de Freitas,Bahia
Jucuruçu,Teixeira de Freitas,Bahia
Itanhém,Teixeira de Freitas,Bahia
Itamaraju,Teixeira de Freitas,Bahia
Ibirapuã,Teixeira de Freitas,Bahia
Caravelas,Teixeira de Freitas,Bahia
Alcobaça,Teixeira de Freitas,Bahia
Santa Cruz Cabrália,Eunápolis - Porto Seguro,Bahia
Porto Seguro,Eunápolis - Porto Seguro,Bahia
Itapebi,Eunápolis - Porto Seguro,Bahia
Itagimirim,Eunápolis - Porto Seguro,Bahia
Itabela,Eunápolis - Porto Seguro,Bahia
Guaratinga,Eunápolis - Porto Seguro,Bahia
Eunápolis,Eunápolis - Porto Seguro,Bahia
Belmonte,Eunápolis - Porto Seguro,Bahia
Una,Camacan,Bahia
Santa Luzia,Camacan,Bahia
Pau Brasil,Camacan,Bahia
Mascote,Camacan,Bahia
Jussari,Camacan,Bahia
Canavieiras,Camacan,Bahia
Camacan,Camacan,Bahia
Arataca,Camacan,Bahia
Vitória da Conquista,Vitória da Conquista,Bahia
Tremedal,Vitória da Conquista,Bahia
Tanhaçu,Vitória da Conquista,Bahia
Ribeirão do Largo,Vitória da Conquista,Bahia
Presidente Jânio Quadros,Vitória da Conquista,Bahia
Poções,Vitória da Conquista,Bahia
Planalto,Vitória da Conquista,Bahia
Piripá,Vitória da Conquista,Bahia
Nova Canaã,Vitória da Conquista,Bahia
Mirante,Vitória da Conquista,Bahia
Maetinga,Vitória da Conquista,Bahia
Ituaçu,Vitória da Conquista,Bahia
Itambé,Vitória da Conquista,Bahia
Iramaia,Vitória da Conquista,Bahia
Iguaí,Vitória da Conquista,Bahia
Ibicoara,Vitória da Conquista,Bahia
Encruzilhada,Vitória da Conquista,Bahia
Cordeiros,Vitória da Conquista,Bahia
Contendas do Sincorá,Vitória da Conquista,Bahia
Condeúba,Vitória da Conquista,Bahia
Caraíbas,Vitória da Conquista,Bahia
Cândido Sales,Vitória da Conquista,Bahia
Caetanos,Vitória da Conquista,Bahia
Caatiba,Vitória da Conquista,Bahia
Bom Jesus da Serra,Vitória da Conquista,Bahia
Boa Nova,Vitória da Conquista,Bahia
Belo Campo,Vitória da Conquista,Bahia
Barra do Choça,Vitória da Conquista,Bahia
Barra da Estiva,Vitória da Conquista,Bahia
Anagé,Vitória da Conquista,Bahia
Santa Inês,Jequié,Bahia
Planaltino,Jequié,Bahia
Maracás,Jequié,Bahia
Manoel Vitorino,Jequié,Bahia
Lajedo do Tabocal,Jequié,Bahia
Lafaiete Coutinho,Jequié,Bahia
Jitaúna,Jequié,Bahia
Jequié,Jequié,Bahia
Jaguaquara,Jequié,Bahia
Itiruçu,Jequié,Bahia
Itaquara,Jequié,Bahia
Itagi,Jequié,Bahia
Irajuba,Jequié,Bahia
Cravolândia,Jequié,Bahia
Apuarema,Jequié,Bahia
Aiquara,Jequié,Bahia
Rio do Pires,Brumado,Bahia
Rio de Contas,Brumado,Bahia
Paramirim,Brumado,Bahia
Malhada de Pedras,Brumado,Bahia
Livramento de Nossa Senhora,Brumado,Bahia
Jussiape,Brumado,Bahia
Dom Basílio,Brumado,Bahia
